Name : Panel Physician Toronto | FormattedAddress: 666 Burnhamthorpe Rd #202, Etobicoke, ON M9C 2Z4, Canada | LocationType: Rooftop | Location_Lat: 43.6418117 | Location_long: -79.57600769999999
Name : Tucana Court Medical Clinic & Walk-in | FormattedAddress: 20 Kingsbridge Garden Cir, Mississauga, ON L5R 3K7, Canada | LocationType: Rooftop | Location_Lat: 43.602716 | Location_long: -79.648952
Name : Mississauga Diagnostic Imaging & Breast Centre | FormattedAddress: 801 Dundas St E, Mississauga, ON L4Y 4E2, Canada | LocationType: Rooftop | Location_Lat: 43.597616 | Location_long: -79.598298
Name : Medisys Preventive Health Clinic | FormattedAddress: 3280 Bloor St W, Etobicoke, ON M8X 2X3, Canada | LocationType: Rooftop | Location_Lat: 43.6455391 | Location_long: -79.5222505
Name : Bristol Family Medical Clinic | FormattedAddress: 60 Bristol Rd E #4, Mississauga, ON L4Z 3K8, Canada | LocationType: Rooftop | Location_Lat: 43.6150819 | Location_long: -79.6606125
Name : Ceremonial Medical Centre | FormattedAddress: 223 Ceremonial Dr Unit 3, Mississauga, ON L5R 2N3, Canada | LocationType: Rooftop | Location_Lat: 43.604906 | Location_long: -79.6633676
Name : Ontario College of Traditional Chinese Medicine Toronto | OCTCM | FormattedAddress: 283 Spadina Ave 3rd FL, Toronto, ON M5T 2E3, Canada | LocationType: Rooftop | Location_Lat: 43.652762 | Location_long: -79.39769199999999
Name : GNMI Medical Imaging | FormattedAddress: 10 Kingsbridge Garden Cir, Mississauga, ON L5R 3K7, Canada | LocationType: Rooftop | Location_Lat: 43.603034 | Location_long: -79.648938
Name : MCI The Doctor's Office Woodbridge | FormattedAddress: 200 Windflower Gate #700, Woodbridge, ON L4L 9C3, Canada | LocationType: Rooftop | Location_Lat: 43.7915567 | Location_long: -79.5540173
Name : Enhanced Care Medical Clinic - Etobicoke | FormattedAddress: 3857 Lake Shore Blvd W, Toronto, ON M8W 0A3, Canada | LocationType: Rooftop | Location_Lat: 43.5902083 | Location_long: -79.54488330000001
Name : Ontario Diagnostic Centres X-Ray & Ultrasound | FormattedAddress: 85 The East Mall Suite # LF01, Etobicoke, ON M8Z 5W4, Canada | LocationType: Rooftop | Location_Lat: 43.6198719 | Location_long: -79.5486079
Name : Appletree Medical Group | FormattedAddress: 4G Spadina Ave, Toronto, ON M5V 3Z9, Canada | LocationType: Rooftop | Location_Lat: 43.6409453 | Location_long: -79.3934489
Name : Skin Vitality Medical Clinic of Mississauga | FormattedAddress: 125 Lakeshore Rd E, Mississauga, ON L5G 1E5, Canada | LocationType: Rooftop | Location_Lat: 43.5541419 | Location_long: -79.58261670000002
Name : Terry Fox Medical | FormattedAddress: 5380 Terry Fox Way #10, Mississauga, ON L5V 0A5, Canada | LocationType: Rooftop | Location_Lat: 43.5945299 | Location_long: -79.6845969
Name : ONTARIO HEART CENTER | FormattedAddress: 100 Humber College Blvd Suite 207, Etobicoke, ON M9V 5G4, Canada | LocationType: Rooftop | Location_Lat: 43.7314795 | Location_long: -79.5991889
Name : Westway Medical Clinic | FormattedAddress: 1723 Kipling Ave, Etobicoke, ON M9R 4E1, Canada | LocationType: Rooftop | Location_Lat: 43.6926358 | Location_long: -79.55710839999999
Name : Dixie X-Ray Associates | FormattedAddress: 1420 Burnhamthorpe Rd E, Mississauga, ON L4X 2Z9, Canada | LocationType: Rooftop | Location_Lat: 43.6230202 | Location_long: -79.601448
Name : Lifelabs Medical Laboratory Services | FormattedAddress: 3025 Hurontario St #506, Mississauga, ON L5B 3A8, Canada | LocationType: Rooftop | Location_Lat: 43.58110569999999 | Location_long: -79.6167404
Name : Etobicoke Medical Centre | FormattedAddress: 85 The East Mall, Etobicoke, ON M9B 3Z9, Canada | LocationType: Rooftop | Location_Lat: 43.6198351 | Location_long: -79.5485525
Name : Mimico Medical | FormattedAddress: 398 Royal York Rd, Etobicoke, ON M8Y 2R5, Canada | LocationType: Rooftop | Location_Lat: 43.6193879 | Location_long: -79.5000247
Name : Medical Associates Of Port Credit | FormattedAddress: 333 Lakeshore Rd W, Mississauga, ON L5H 1G9, Canada | LocationType: Rooftop | Location_Lat: 43.5432524 | Location_long: -79.5945753
Name : Dundas427 Medical Centre | FormattedAddress: 2200 Dundas St E #4A, Mississauga, ON L4X 2V3, Canada | LocationType: Rooftop | Location_Lat: 43.6255424 | Location_long: -79.5654173
Name : Streetsville Medical Centre | FormattedAddress: 5425 Creditview Rd #8, Mississauga, ON L5V 2P3, Canada | LocationType: Rooftop | Location_Lat: 43.5870732 | Location_long: -79.69567119999999
Name : Dr. O.K. Medical & Dental Center | FormattedAddress: 1278 The Queensway, Etobicoke, ON M8Z 1S3, Canada | LocationType: Rooftop | Location_Lat: 43.6212643 | Location_long: -79.5262432
Name : FPM Solutions: CPAP and Medical Devices | FormattedAddress: 190 Sherway Dr #408, Etobicoke, ON M9C 5N2, Canada | LocationType: Rooftop | Location_Lat: 43.60871789999999 | Location_long: -79.56033649999999
Name : Dundas Medical Centre | FormattedAddress: 1224 Dundas St W, Mississauga, ON L5C 4G7, Canada | LocationType: Rooftop | Location_Lat: 43.5537582 | Location_long: -79.6457389
Name : Excellent Care Medical Centre | FormattedAddress: 3885 Duke of York Blvd #106c, Mississauga, ON L5B 0E4, Canada | LocationType: Rooftop | Location_Lat: 43.5875486 | Location_long: -79.6401443
Name : Toronto Centre For Medical Imaging | FormattedAddress: 150 York St #910, Toronto, ON M5H 3S5, Canada | LocationType: Rooftop | Location_Lat: 43.64947120000001 | Location_long: -79.3846792
Name : Parkway Webb Medical Clinic - Dr. Siddiqui/ Dr. Manzar | FormattedAddress: 325 Central Pkwy W #30, Mississauga, ON L5B 3X9, Canada | LocationType: Rooftop | Location_Lat: 43.5830749 | Location_long: -79.6393223
Name : Canadian Back Institute | FormattedAddress: 56 Aberfoyle Crescent, Etobicoke, ON M8X 2W4, Canada | LocationType: Rooftop | Location_Lat: 43.64589590000001 | Location_long: -79.522851
Name : Ontario Diagnostic Centres X-Ray & Ultrasound | FormattedAddress: 5055 Plantation Pl, Mississauga, ON L5M 6J3, Canada | LocationType: Rooftop | Location_Lat: 43.5525123 | Location_long: -79.7155868
Name : Medical Pharmacies Group Limited | FormattedAddress: 2785 Skymark Ave #1, Mississauga, ON L4W 5A7, Canada | LocationType: Rooftop | Location_Lat: 43.6630003 | Location_long: -79.5975583
