Name : Trillium Health Partners - Mississauga Hospital | FormattedAddress: 100 Queensway W, Mississauga, ON L5B 1B8, Canada | LocationType: Rooftop | Location_Lat: 43.5715858 | Location_long: -79.6076852
Name : Toronto General Hospital | FormattedAddress: 200 Elizabeth St, Toronto, ON M5G 2C4, Canada | LocationType: Rooftop | Location_Lat: 43.6591496 | Location_long: -79.38801769999999
Name : Southlake Regional Health Centre | FormattedAddress: 596 Davis Dr, Newmarket, ON L3Y 2P9, Canada | LocationType: Rooftop | Location_Lat: 44.0602343 | Location_long: -79.4521243
Name : Humber River Hospital | FormattedAddress: 1235 Wilson Ave, North York, ON M3M 0B2, Canada | LocationType: Rooftop | Location_Lat: 43.724252 | Location_long: -79.4877005
Name : ADVANTAGE HEALTHCARE LIMITED | FormattedAddress: 15 St Clair Ave E, Toronto, ON M4T 1L8, Canada | LocationType: Rooftop | Location_Lat: 43.688121 | Location_long: -79.3929871
Name : Mackenzie Health Centre For Behavioral Health Sciences | FormattedAddress: 13311 Yonge St, Richmond Hill, ON L4E 3L6, Canada | LocationType: Rooftop | Location_Lat: 43.9522639 | Location_long: -79.4554307
Name : Health Clinic | FormattedAddress: 2200 Eglinton Ave W, Mississauga, ON L5M 2N1, Canada | LocationType: Rooftop | Location_Lat: 43.55860879999999 | Location_long: -79.703268
Name : trillium sherway | FormattedAddress: 150 Sherway Dr, Etobicoke, ON M9C 1A4, Canada | LocationType: Rooftop | Location_Lat: 43.6094234 | Location_long: -79.5619214
Name : St. Peter's Hospital - Hamilton Health Sciences | FormattedAddress: 88 Maplewood Ave, Hamilton, ON L8M 1W9, Canada | LocationType: Rooftop | Location_Lat: 43.2443864 | Location_long: -79.83720699999999
Name : Lakeridge Health Ajax Pickering Hospital | FormattedAddress: 580 Harwood Ave S, Ajax, ON L1S 2J4, Canada | LocationType: Rooftop | Location_Lat: 43.8376718 | Location_long: -79.0176886
Name : Niagara Health - St. Catharines Site | FormattedAddress: 1200 Fourth Ave, St. Catharines, ON L2S 0A9, Canada | LocationType: Rooftop | Location_Lat: 43.15366299999999 | Location_long: -79.2785004
Name : St. Joseph's Healthcare Hamilton, West 5th Campus | FormattedAddress: 100 West 5th Street, Hamilton, ON L9C 0E3, Canada | LocationType: Rooftop | Location_Lat: 43.24044500000001 | Location_long: -79.88410770000002
Name : McMaster University Medical Centre - Hamilton Health Sciences | FormattedAddress: 1200 Main St W, Hamilton, ON L8N 3Z5, Canada | LocationType: Rooftop | Location_Lat: 43.2594722 | Location_long: -79.9174585
Name : Toronto Western Hospital | FormattedAddress: 399 Bathurst St, Toronto, ON M5T 2S8, Canada | LocationType: Rooftop | Location_Lat: 43.6534793 | Location_long: -79.4052302
Name : St. Michael's Hospital | FormattedAddress: 30 Bond St, Toronto, ON M5B 1W8, Canada | LocationType: Rooftop | Location_Lat: 43.6529691 | Location_long: -79.3776369
