Name : Dundas Medical Centre | FormattedAddress: 801 Dundas St E, Mississauga, ON L4Y 4E2, Canada | LocationType: Rooftop | Location_Lat: 43.5976156 | Location_long: -79.5982983
Name : Iona Doctors Clinic | FormattedAddress: 1585 Mississauga Valley Blvd, Mississauga, ON L5A 3W9, Canada | LocationType: Rooftop | Location_Lat: 43.592377 | Location_long: -79.62646699999999
Name : Toronto West Fertility Centre | FormattedAddress: 56 Aberfoyle Crescent Suite 100, Etobicoke, ON M8X 2W4, Canada | LocationType: Rooftop | Location_Lat: 43.6460005 | Location_long: -79.52284399999999
Name : OCC Eyecare | FormattedAddress: 1880 Sismet Rd, Mississauga, ON L4W 1W9, Canada | LocationType: Rooftop | Location_Lat: 43.6487997 | Location_long: -79.61780139999999
Name : The Canadian Physio | FormattedAddress: 71 King St W, Mississauga, ON L5B 1N5, Canada | LocationType: Rooftop | Location_Lat: 43.5777718 | Location_long: -79.61650929999999
Name : Canadian Men's Clinic | FormattedAddress: 1 Eglinton Ave E #400, Toronto, ON M4P 3A1, Canada | LocationType: Rooftop | Location_Lat: 43.7065792 | Location_long: -79.3978503
Name : Burnhamthorpe Medical Clinic | FormattedAddress: 350 Burnhamthorpe Rd E, Mississauga, ON L5A 3S5, Canada | LocationType: Rooftop | Location_Lat: 43.6003902 | Location_long: -79.62605280000001
Name : Westway Medical Clinic | FormattedAddress: 1723 Kipling Ave, Etobicoke, ON M9R 4E1, Canada | LocationType: Rooftop | Location_Lat: 43.6926358 | Location_long: -79.55710839999999
Name : Wali Health Clinic | FormattedAddress: 1890 Burnhamthorpe Rd E, Mississauga, ON L4X 2S5, Canada | LocationType: Rooftop | Location_Lat: 43.63283269999999 | Location_long: -79.5908024
Name : Pain Care Clinics | FormattedAddress: 6981 Millcreek Dr #2, Mississauga, ON L5N 6B8, Canada | LocationType: Rooftop | Location_Lat: 43.5973911 | Location_long: -79.7600643
Name : MedPlace Walk-In Clinic | FormattedAddress: 170 Queensway W Suite 112, Mississauga, ON L5B 3A8, Canada | LocationType: Rooftop | Location_Lat: 43.5699342 | Location_long: -79.6111682
Name : Crossways Sexual Health Clinic - Toronto Public Health | FormattedAddress: 2340 Dundas St W, Toronto, ON M6P 4A9, Canada | LocationType: Rooftop | Location_Lat: 43.6567723 | Location_long: -79.4516316
Name : Jane Park Plaza Walk-In Clinic | FormattedAddress: 877 Jane St, York, ON M6N 4C4, Canada | LocationType: Rooftop | Location_Lat: 43.6772498 | Location_long: -79.4945865
Name : Bristol Family Medical Clinic | FormattedAddress: 60 Bristol Rd E #4, Mississauga, ON L4Z 3K8, Canada | LocationType: Rooftop | Location_Lat: 43.6150819 | Location_long: -79.6606125
Name : Dixie Road Medical Associates | FormattedAddress: 2200 Dixie Rd, Mississauga, ON L4Y 1Z4, Canada | LocationType: Rooftop | Location_Lat: 43.6015446 | Location_long: -79.57341219999999
